symbol,timestamp,ask_exchange,ask_price,ask_size,bid_exchange,bid_price,bid_size,conditions,tape
IBM,2021-10-25 13:30:00.054091+00:00,V,134.2,1.0,V,121.56,1.0,['R'],A
IBM,2021-10-25 13:30:00.197703+00:00,V,134.2,1.0,V,121.56,1.0,['R'],A
IBM,2021-10-25 13:30:00.197803+00:00,V,134.2,1.0,V,121.56,1.0,['R'],A
IBM,2021-10-25 13:30:00.206448+00:00,V,134.2,1.0,V,127.52,1.0,['R'],A
IBM,2021-10-25 13:30:01.207808+00:00,V,134.2,1.0,V,127.52,1.0,['R'],A
IBM,2021-10-25 13:30:01.225345+00:00,V,134.2,1.0,V,121.56,1.0,['R'],A
IBM,2021-10-25 13:30:01.491533+00:00,V,134.2,1.0,V,127.52,1.0,['R'],A
IBM,2021-10-25 13:30:01.491558+00:00,V,134.2,1.0,V,127.52,3.0,['R'],A
IBM,2021-10-25 13:30:01.525920+00:00,V,134.2,1.0,V,127.53,1.0,['R'],A
IBM,2021-10-25 13:30:01.525965+00:00,V,134.2,1.0,V,127.53,3.0,['R'],A
IBM,2021-10-25 13:30:01.820060+00:00,V,134.2,1.0,V,127.55,1.0,['R'],A
IBM,2021-10-25 13:30:01.820115+00:00,V,134.2,1.0,V,127.55,3.0,['R'],A
IBM,2021-10-25 13:30:01.820156+00:00,V,134.2,1.0,V,127.59,1.0,['R'],A
IBM,2021-10-25 13:30:01.820196+00:00,V,134.2,1.0,V,127.59,3.0,['R'],A
IBM,2021-10-25 13:30:01.824686+00:00,V,134.2,1.0,V,127.54,3.0,['R'],A
IBM,2021-10-25 13:30:01.849922+00:00,V,134.2,1.0,V,127.54,1.0,['R'],A
IBM,2021-10-25 13:30:01.850438+00:00,V,134.2,1.0,V,127.54,3.0,['R'],A
IBM,2021-10-25 13:30:01.890729+00:00,V,134.2,1.0,V,127.55,2.0,['R'],A
IBM,2021-10-25 13:30:01.926945+00:00,V,134.2,1.0,V,127.55,2.0,['R'],A
IBM,2021-10-25 13:30:02.042059+00:00,V,134.2,1.0,V,127.55,2.0,['R'],A
IBM,2021-10-25 13:30:02.283368+00:00,V,134.2,1.0,V,127.55,2.0,['R'],A
IBM,2021-10-25 13:30:02.616229+00:00,V,134.2,1.0,V,127.55,2.0,['R'],A
IBM,2021-10-25 13:30:02.634102+00:00,V,127.74,1.0,V,127.55,2.0,['R'],A
IBM,2021-10-25 13:30:02.687709+00:00,V,127.74,1.0,V,127.55,2.0,['R'],A
IBM,2021-10-25 13:30:02.688271+00:00,V,134.2,1.0,V,127.55,2.0,['R'],A
IBM,2021-10-25 13:30:02.738901+00:00,V,134.2,1.0,V,127.55,2.0,['R'],A
